운영노선명,역명,위도,경도,리모델링연도
1호선,서울,37.556878,126.972578,2015
1호선,시청,37.565682,126.976849,2013
1호선,종각,37.570175,126.983226,2015
1호선,종각,37.570175,126.983226,2006
1호선,종로3가,37.57042,126.992153,2010
1호선,종로5가,37.571743,127.011169,2014
1호선,동대문,37.576087,127.02456,2016
1호선,동묘앞,37.573281,127.016649,2006
1호선,신설동,37.578163,127.034687,2014
1호선,제기동,37.579984,127.045547,2010
1호선,청량리,57.580037,127.044727,2006
2호선,시청,37.563681,126.975598,2013
2호선,을지로입구,37.566171,126.990203,2009
2호선,을지로3가,37.566489,126.996528,2009
2호선,을지로4가,37.565718,127.008485,2012
2호선,신당,37.563933,127.029793,2006
2호선,상왕십리,37.562259,127.037228,2006
2호선,왕십리,37.555259,127.043658,2009
2호선,한양대,37.547177,127.04738,2010
2호선,뚝섬,37.544601,127.056885,2012
2호선,성수,37.558689,127.053172,2006
2호선,구의,37.5371752,127.08618,2022
2호선,강변,37.53511804,127.09474,2009
2호선,잠실나루,37.52071241,127.1038088,2010
2호선,잠실,37.513311,127.100231,2009
2호선,잠실새내,37.511626,127.086314,2010
2호선,종합운동장,37.51114466,127.073849,2010
2호선,종합운동장,37.51114466,127.073849,2006
2호선,삼성,37.518622,127.1049,2009
2호선,선릉,37.517661,127.074659,2013
2호선,역삼,57.50067442,127.0364694,2022
2호선,교대,37.4939,127.0143838,2017
2호선,서초,37.49184993,127.0076621,2010
2호선,방배,37.508826,127.063067,2009
2호선,사당,37.47656223,126.9815586,2006
2호선,사당,37.47656223,126.9815586,2013
2호선,낙성대,37.47709324,126.9635239,2010
2호선,서울대입구,37.492765,127.010541,2018
2호선,봉천,37.481297,126.99732,2010
2호선,신도림,37.484178,126.929789,2011
2호선,문래,37.48751,126.912991,2011
2호선,홍대입구,37.514401,126.882685,2011
2호선,신촌,37.512518,126.865711,2006
2호선,이대,37.518294,126.853619,2017
2호선,아현,37.517887,126.894751,2009
2호선,충정로,37.525656,126.896614,2018
2호선,용두,37.57406213,127.0382757,2006
2호선,용답,37.559493,126.963818,2006
2호선,도림천,37.637537,126.918588,2024
2호선,신정네거리,37.610483,126.929288,2010
3호선,구파발,37.600702,126.936005,2010
3호선,불광,37.582361,126.950438,2015
3호선,녹번,37.574301,126.955918,2017
3호선,홍제,37.57582,126.973058,2006
3호선,안국,37.566412,126.994185,2012
3호선,압구정,37.513082,127.011857,2009
3호선,교대,37.484761,127.033371,2009
3호선,매봉,37.494543,127.063426,2019
3호선,도곡,37.496679,127.071705,2019
3호선,학여울,37.483953,127.084413,2018
3호선,일원,37.48398867,127.0841298,2018
3호선,가락시장,37.49224932,127.1176417,2010
3호선,경찰병원,37.49600492,127.1244824,2010
3호선,오금,37.50232209,127.1284828,2010
4호선,당고개,37.67021684,127.0790666,2010
4호선,당고개,37.67021684,127.0790666,2006
4호선,쌍문,37.615104,127.030046,2015
4호선,미아,37.593048,127.016714,2022
4호선,미아사거리,37.492504,126.894962,2006
4호선,길음,37.581893,127.001953,2013
4호선,한성대입구,37.58842461,127.0060178,2006
4호선,혜화,37.58204392,127.0194501,2009
4호선,동대문역사문화공원,37.56514371,127.0079152,2010
4호선,서울,37.529364,126.968299,2015
4호선,숙대입구,37.522481,126.973671,2012
4호선,삼각지,37.503465,126.979927,2010
4호선,신용산,37.487514,126.982162,2016
4호선,사당,37.47759121,126.9816985,2009
5호선,방화,37.577622,126.810637,2015
5호선,개화산,37.572455,126.80465,2015
5호선,김포공항,37.56209982,126.8012568,2006
5호선,송정,36.344485,126.875648,2006
5호선,마곡,37.561084,126.823603,2006
5호선,발산,37.55867774,126.8377364,2009
5호선,우장산,37.54881619,126.8363263,2009
5호선,화곡,37.541578,126.838247,2009
5호선,까치산,37.531768,126.844517,2009
5호선,신정,37.524977,126.853975,2009
5호선,목동,37.526072,126.862112,2006
5호선,오목교,37.524553,126.872861,2006
5호선,영등포구청,37.526714,126.893067,2011
5호선,영등포시장,37.521638,126.902798,2010
5호선,신길,37.517346,126.914221,2015
5호선,여의도,37.52157,126.922123,2006
5호선,여의나루,37.527141,126.930621,2006
5호선,마포,37.539705,126.943851,2006
5호선,공덕,37.54454169,126.9514512,2006
5호선,애오개,37.55359,126.95455,2012
5호선,충정로,37.560055,126.961483,2012
5호선,서대문,37.56577,126.964461,2009
5호선,광화문,37.568666,126.969794,2006
5호선,을지로4가,37.567015,126.995642,2010
5호선,동대문역사문화공원,37.565102,127.005576,2009
5호선,신금호,37.554468,127.018605,2009
5호선,행당,37.55736378,127.0295118,2009
5호선,마장,37.566127,127.040776,2013
5호선,답십리,37.567072,127.050193,2008
5호선,장한평,37.561472,127.062468,2006
5호선,군자,37.557336,127.0774,2010
5호선,아차산,37.551959,127.087363,2015
5호선,광나루,37.545332,127.101417,2012
5호선,천호,37.538462,127.122905,2009
5호선,강동,37.53594,127.1299,2012
5호선,길동,37.537769,127.137803,2014
5호선,굽은다리,37.545539,127.140717,2008
5호선,명일,37.55131,127.141825,2008
5호선,고덕,37.555051,127.151921,2012
5호선,상일동,37.557055,127.166995,2015
5호선,강일,37.55758,127.17588,2021
5호선,미사,37.563355,127.192636,2020
5호선,하남풍산,37.552026,127.203768,2020
5호선,하남시청,37.54172,127.20676,2021
5호선,하남검단산,37.53996,127.22263,2021
5호선,둔촌동,37.527657,127.134042,2008
5호선,올림픽공원,37.516628,127.128901,2010
5호선,방이,37.508559,127.123771,2013
5호선,개롱,37.498162,127.132471,2013
5호선,거여,37.494249,127.13979,2013
5호선,마천,37.49502,127.150601,2009
6호선,응암,37.598472,126.913403,2016
6호선,역촌,37.60515,126.919893,2018
6호선,불광,37.610098,126.928007,2018
6호선,독바위,37.618387,126.930848,2018
6호선,연신내,37.618812,126.918653,2017
6호선,구산,37.611025,126.915399,2018
6호선,새절,37.591014,126.911393,2020
6호선,증산,37.583933,126.907497,2006
6호선,디지털미디어시티,37.577964,126.898232,2024
6호선,월드컵경기장,37.569656,126.896869,2006
6호선,마포구청,37.563418,126.901283,2020
6호선,마포구청,37.563418,126.901283,2019
6호선,망원,37.555757,126.907718,2017
6호선,합정,37.549575,126.911802,2020
6호선,상수,37.547703,126.920759,2022
6호선,광흥창,37.547478,126.929666,2017
6호선,대흥,37.547674,126.940143,2018
6호선,공덕,37.54322,126.949387,2019
6호선,효창공원앞,37.539289,126.95915,2006
6호선,삼각지,37.53563,126.974797,2018
6호선,녹사평,37.534945,126.983163,2006
6호선,이태원,37.534533,126.99239,2010
6호선,버티고개,37.547892,127.004934,2018
6호선,약수,37.553465,127.009158,2018
6호선,청구,37.557424,127.009814,2022
6호선,신당,37.565671,127.017279,2016
6호선,동묘앞,37.572729,127.013819,2020
6호선,보문,37.58533,127.017202,2006
6호선,안암,37.587422,127.029258,2006
6호선,월곡,37.601925,127.039341,2006
6호선,상월곡,37.6066,127.046673,2006
6호선,돌곶이,37.610493,127.054214,2019
6호선,석계,37.615233,127.064155,2006
6호선,태릉입구,37.62187,127.086099,2006
6호선,화랑대,37.621869,127.079533,2006
6호선,봉화산,37.699655,127.050087,2022
7호선,장암,37.69995657,127.0528183,2015
7호선,도봉산,37.68963047,127.0464256,2016
7호선,수락산,37.665375,127.055425,2009
7호선,마들,37.654527,127.058362,2014
7호선,노원,37.645494,127.061718,2006
7호선,중계,37.63595,127.066024,2014
7호선,하계,37.625787,127.070705,2009
7호선,공릉,37.62554276,127.0730336,2010
7호선,태릉입구,37.61845951,127.0754053,2013
7호선,먹골,37.61078,127.075518,2014
7호선,중화,37.602572,127.077096,2009
7호선,면목,37.588745,127.085305,2009
7호선,사가정,37.580966,127.086314,2009
7호선,용마산,37.573793,127.084629,2015
7호선,중곡,37.565535,127.081897,2012
7호선,어린이대공원,37.547905,127.072404,2009
7호선,청담,37.51912,127.049748,2006
7호선,강남구청,37.517473,127.03898,2024
7호선,학동,37.515323,127.027744,2006
7호선,논현,37.511206,127.019539,2006
7호선,논현,37.511206,127.019539,2016
7호선,반포,37.508213,127.009658,2006
7호선,고속터미널,37.504914,127.002726,2019
7호선,내방,37.487707,126.991409,2020
7호선,이수,37.485936,126.979819,2024
7호선,숭실대입구,37.496374,126.951315,2021
7호선,상도,37.503072,126.945564,2020
7호선,장승배기,37.504905,126.937002,2021
7호선,신대방삼거리,37.487519,126.911093,2020
7호선,보라매,37.499929,126.918093,2006
7호선,신풍,37.50013,126.90678,2006
7호선,대림,37.492981,126.893984,2021
7호선,남구로,37.486051,126.885062,2006
7호선,가산디지털단지,37.48039597,126.8826618,2019
7호선,철산,37.47619284,126.868211,2019
7호선,광명사거리,37.479307,126.852486,2006
7호선,천왕,37.486686,126.836492,2018
7호선,온수,37.492151,126.821446,2021
8호선,암사역사공원역,37.557155,127.13732,2024
8호선,암사,37.550646,127.125659,2022
8호선,강동구청,37.538374,127.115484,2021
8호선,몽촌토성,37.517641,127.110551,2010
8호선,잠실,37.513152,127.101221,2014
8호선,석촌,37.50541412,127.1070041,2009
8호선,송파,37.49971495,127.1121935,2015
8호선,가락시장,37.49309925,127.1182628,2015
8호선,문정,37.495002,127.103639,2015
8호선,장지,37.482299,127.124225,2009
8호선,복정,37.47074187,127.126724,2015
8호선,남위례,37.46272308,127.139351,2021
8호선,산성,37.470375,127.11793,2013
8호선,남한산성입구,37.451541,127.157632,2009
8호선,단대오거리,37.445163,127.154033,2009
8호선,신흥,37.440749,127.144161,2006
8호선,수진,37.437611,127.138831,2012
8호선,모란,37.433072,127.127123,2013
