운영노선명,역명,위도,경도,리모델링연도,구
1호선,서울역,37.556878,126.972578,2015,용산구
1호선,서울역,37.556878,126.972578,2015,중구
1호선,시청역,37.565682,126.976849,2013,중구
1호선,시청역,37.565682,126.976849,2013,중구
1호선,종각역,37.570175,126.983226,2015,종로구
1호선,종각역,37.570175,126.983226,2006,종로구
1호선,종로3가역,37.57042,126.992153,2010,종로구
1호선,종로3가역,37.57042,126.992153,2010,종로구
1호선,종로3가역,37.57042,126.992153,2010,종로구
1호선,종로5가역,37.571743,127.011169,2014,종로구
1호선,동대문역,37.576087,127.02456,2016,동대문구
1호선,동대문역,37.576087,127.02456,2016,종로구
1호선,동묘앞역,37.573281,127.016649,2006,종로구
1호선,동묘앞역,37.573281,127.016649,2006,종로구
1호선,신설동역,37.578163,127.034687,2014,동대문구
1호선,신설동역,37.578163,127.034687,2014,동대문구
1호선,제기동역,37.579984,127.045547,2010,동대문구
1호선,청량리역,57.580037,127.044727,2006,동대문구
2호선,시청역,37.563681,126.975598,2013,중구
2호선,시청역,37.563681,126.975598,2013,중구
2호선,을지로입구역,37.566171,126.990203,2009,중구
2호선,을지로3가역,37.566489,126.996528,2009,중구
2호선,을지로3가역,37.566489,126.996528,2009,중구
2호선,을지로4가역,37.565718,127.008485,2012,중구
2호선,을지로4가역,37.565718,127.008485,2012,중구
2호선,신당역,37.563933,127.029793,2006,중구
2호선,신당역,37.563933,127.029793,2006,중구
2호선,상왕십리역,37.562259,127.037228,2006,성동구
2호선,왕십리역,37.555259,127.043658,2009,성동구
2호선,왕십리역,37.555259,127.043658,2009,성동구
2호선,한양대역,37.547177,127.04738,2010,성동구
2호선,뚝섬역,37.544601,127.056885,2012,성동구
2호선,성수역,37.558689,127.053172,2006,성동구
2호선,구의역,37.5371752,127.08618,2022,광진구
2호선,강변역,37.53511804,127.09474,2009,광진구
2호선,잠실나루역,37.52071241,127.1038088,2010,송파구
2호선,잠실역,37.513311,127.100231,2009,송파구
2호선,잠실역,37.513311,127.100231,2009,송파구
2호선,잠실새내역,37.511626,127.086314,2010,송파구
2호선,종합운동장역,37.51114466,127.073849,2010,송파구
2호선,종합운동장역,37.51114466,127.073849,2010,송파구
2호선,종합운동장역,37.51114466,127.073849,2006,송파구
2호선,종합운동장역,37.51114466,127.073849,2006,송파구
2호선,삼성역,37.518622,127.1049,2009,강남구
2호선,선릉역,37.517661,127.074659,2013,강남구
2호선,역삼역,57.50067442,127.0364694,2022,강남구
2호선,교대역,37.4939,127.0143838,2017,서초구
2호선,교대역,37.4939,127.0143838,2017,서초구
2호선,서초역,37.49184993,127.0076621,2010,서초구
2호선,방배역,37.508826,127.063067,2009,서초구
2호선,사당역,37.47656223,126.9815586,2006,동작구
2호선,사당역,37.47656223,126.9815586,2006,동작구
2호선,사당역,37.47656223,126.9815586,2013,동작구
2호선,사당역,37.47656223,126.9815586,2013,동작구
2호선,낙성대역,37.47709324,126.9635239,2010,관악구
2호선,서울대입구역,37.492765,127.010541,2018,관악구
2호선,봉천역,37.481297,126.99732,2010,관악구
2호선,신도림역,37.484178,126.929789,2011,구로구
2호선,문래역,37.48751,126.912991,2011,영등포구
2호선,홍대입구역,37.514401,126.882685,2011,마포구
2호선,신촌역,37.512518,126.865711,2006,서대문구
2호선,이대역,37.518294,126.853619,2017,마포구
2호선,아현역,37.517887,126.894751,2009,마포구
2호선,충정로역,37.525656,126.896614,2018,서대문구
2호선,충정로역,37.525656,126.896614,2018,서대문구
2호선,용두역,37.57406213,127.0382757,2006,동대문구
2호선,용답역,37.559493,126.963818,2006,성동구
2호선,도림천역,37.637537,126.918588,2024,구로구
2호선,신정네거리역,37.610483,126.929288,2010,양천구
3호선,구파발역,37.600702,126.936005,2010,은평구
3호선,불광역,37.582361,126.950438,2015,은평구
3호선,불광역,37.582361,126.950438,2015,은평구
3호선,녹번역,37.574301,126.955918,2017,은평구
3호선,홍제역,37.57582,126.973058,2006,서대문구
3호선,안국역,37.566412,126.994185,2012,종로구
3호선,압구정역,37.513082,127.011857,2009,강남구
3호선,교대역,37.484761,127.033371,2009,서초구
3호선,교대역,37.484761,127.033371,2009,서초구
3호선,매봉역,37.494543,127.063426,2019,강남구
3호선,도곡역,37.496679,127.071705,2019,강남구
3호선,학여울역,37.483953,127.084413,2018,강남구
3호선,일원역,37.48398867,127.0841298,2018,강남구
3호선,가락시장역,37.49224932,127.1176417,2010,송파구
3호선,가락시장역,37.49224932,127.1176417,2010,송파구
3호선,경찰병원역,37.49600492,127.1244824,2010,송파구
3호선,오금역,37.50232209,127.1284828,2010,송파구
3호선,오금역,37.50232209,127.1284828,2010,송파구
4호선,당고개역,37.67021684,127.0790666,2010,노원구
4호선,당고개역,37.67021684,127.0790666,2006,노원구
4호선,쌍문역,37.615104,127.030046,2015,도봉구
4호선,미아역,37.593048,127.016714,2022,강북구
4호선,미아사거리역,37.492504,126.894962,2006,강북구
4호선,길음역,37.581893,127.001953,2013,성북구
4호선,한성대입구역,37.58842461,127.0060178,2006,성북구
4호선,혜화역,37.58204392,127.0194501,2009,종로구
4호선,동대문역사문화공원역,37.56514371,127.0079152,2010,중구
4호선,동대문역사문화공원역,37.56514371,127.0079152,2010,중구
4호선,동대문역사문화공원역,37.56514371,127.0079152,2010,중구
4호선,서울역,37.529364,126.968299,2015,용산구
4호선,서울역,37.529364,126.968299,2015,중구
4호선,숙대입구역,37.522481,126.973671,2012,용산구
4호선,삼각지역,37.503465,126.979927,2010,용산구
4호선,삼각지역,37.503465,126.979927,2010,용산구
4호선,신용산역,37.487514,126.982162,2016,용산구
4호선,사당역,37.47759121,126.9816985,2009,동작구
4호선,사당역,37.47759121,126.9816985,2009,동작구
5호선,방화역,37.577622,126.810637,2015,강서구
5호선,개화산역,37.572455,126.80465,2015,강서구
5호선,김포공항역,37.56209982,126.8012568,2006,강서구
5호선,김포공항역,37.56209982,126.8012568,2006,강서구
5호선,송정역,36.344485,126.875648,2006,강서구
5호선,마곡역,37.561084,126.823603,2006,강서구
5호선,발산역,37.55867774,126.8377364,2009,강서구
5호선,우장산역,37.54881619,126.8363263,2009,강서구
5호선,화곡역,37.541578,126.838247,2009,강서구
5호선,까치산역,37.531768,126.844517,2009,강서구
5호선,신정역,37.524977,126.853975,2009,양천구
5호선,목동역,37.526072,126.862112,2006,양천구
5호선,오목교역,37.524553,126.872861,2006,양천구
5호선,영등포구청역,37.526714,126.893067,2011,영등포구
5호선,영등포구청역,37.526714,126.893067,2011,영등포구
5호선,영등포시장역,37.521638,126.902798,2010,영등포구
5호선,신길역,37.517346,126.914221,2015,영등포구
5호선,여의도역,37.52157,126.922123,2006,영등포구
5호선,여의도역,37.52157,126.922123,2006,영등포구
5호선,여의나루역,37.527141,126.930621,2006,영등포구
5호선,마포역,37.539705,126.943851,2006,마포구
5호선,공덕역,37.54454169,126.9514512,2006,마포구
5호선,공덕역,37.54454169,126.9514512,2006,마포구
5호선,애오개역,37.55359,126.95455,2012,마포구
5호선,충정로역,37.560055,126.961483,2012,서대문구
5호선,충정로역,37.560055,126.961483,2012,서대문구
5호선,서대문역,37.56577,126.964461,2009,서대문구
5호선,광화문역,37.568666,126.969794,2006,종로구
5호선,을지로4가역,37.567015,126.995642,2010,중구
5호선,을지로4가역,37.567015,126.995642,2010,중구
5호선,동대문역사문화공원역,37.565102,127.005576,2009,중구
5호선,동대문역사문화공원역,37.565102,127.005576,2009,중구
5호선,동대문역사문화공원역,37.565102,127.005576,2009,중구
5호선,신금호역,37.554468,127.018605,2009,성동구
5호선,행당역,37.55736378,127.0295118,2009,성동구
5호선,마장역,37.566127,127.040776,2013,성동구
5호선,답십리역,37.567072,127.050193,2008,성동구
5호선,장한평역,37.561472,127.062468,2006,동대문구
5호선,군자역,37.557336,127.0774,2010,광진구
5호선,군자역,37.557336,127.0774,2010,광진구
5호선,아차산역,37.551959,127.087363,2015,광진구
5호선,광나루역,37.545332,127.101417,2012,광진구
5호선,천호역,37.538462,127.122905,2009,강동구
5호선,천호역,37.538462,127.122905,2009,강동구
5호선,강동역,37.53594,127.1299,2012,강동구
